вакансия,ключевые навыки,опыт работы,зарплата,название компании,Звезды,кол-во отзывов
Аналитик данных (junior),"Проектная документация,Сбор и анализ информации,SQL,Базы данных,MS Excel,Аналитическое мышление,Английский язык,BPMN",1–3 года,"от ,25 000, ,₽",Миго-групп,"3,2",2
Специалист Отдела аналитики и обработки баз данных,,не требуется,"от ,35 000, ,₽",ЕРКЦ,"3,9",5
Аналитик данных,"Анализ данных,Python,SQL,Аналитика,Сбор и анализ информации,MS Excel,Google Analytics,Анализ бизнес показателей,Умение работать в коллективе,Работа с большим объемом информации",1–3 года,"до ,30 000, ,₽",Sputnik Solutions,,
"Операционист на маркетплейсы (аналитик данных Excel, НА ПОЛНЫЙ ДЕНЬ,удалённо)","Маркетинговый анализ,Маркетинговые исследования,Анализ конкурентной среды,Статистический анализ,Маркетплейсы,Анализ бизнес показателей,SWOT анализ,Анализ рынка,MS Excel",не требуется,"от ,20 000, до ,30 000, ,₽",Бонанза Фешн,"4,5",16
Аналитик данных (junior),"Проектная документация,Сбор и анализ информации,SQL,Базы данных,MS Excel,Аналитическое мышление,Английский язык,BPMN",1–3 года,"до ,40 000, ,₽",Миго-групп,"3,2",2
Стажер Аналитик данных (Группа аналитики данных),"SQL,Python",не требуется,"до ,30 000, ,₽",ЦРПТ (Центр развития перспективных технологий),"4,9",135
Ассистент аналитика / инженера данных,"SQL,Английский язык,Английский — B1 — Средний",не требуется,"до ,40 000, ,₽",Адвентум,"4,2",30
Аналитик данных,"Хранилище данных,MS Excel,Табличная верстка,Работа с базами данных,1С: Торговля,Аналитическое мышление,Анализ данных",1–3 года,"от ,40 700, до ,40 700, ,₽",Группа Компаний «Линия7»,"3,8",36
Аналитик данных (Продажи),"Хранилище данных,MS Excel,Табличная верстка,Работа с базами данных,1С: Торговля,Аналитическое мышление,Анализ данных",1–3 года,"от ,40 700, до ,40 700, ,₽",Группа Компаний «Линия7»,"3,8",36
Специалист-аналитик данных,"MS Excel,BI-отчетность,ВПР,сводные таблицы,Аналитическое мышление,Подготовка отчетов,Аналитика,Выборка",1–3 года,"от ,42 500, до ,42 500, ,₽",Ростелеком,"3,5",8727
Стажер-аналитик (Модель данных ЦКР),,не требуется,"до ,50 000, ,₽",Сбер. IT,"4,0",17825
Оператор базы данных клиентов (помощник аналитика),"Работа с базами данных,Клиентоориентированность,Базы данных,Пользователь ПК",1–3 года,"от ,35 000, ,₽",Ceramic3d,"4,7",28
Аналитик данных,"Ценообразование,Анализ конкурентов,Адаптация трейд-маркетинговой стратегии,Торговый маркетинг,1С: Розница,Расчет премий и бонусов",1–3 года,"от ,40 000, до ,45 000, ,₽",ГК ТехникаПро,,
Аналитик данных Excel,"Работа с большим объемом информации,MS Excel,Сбор и анализ информации,Работа с базами данных,ВПР,Подготовка отчетов",не требуется,"от ,35 000, ,₽",Ростелеком Башкортостан,"3,5",72
Аналитик данных,"Пользователь ПК,Работа в команде,Грамотная речь,Поиск информации в интернет,Статистика,Работа с базами данных,Excel,Первичные документы",1–3 года,"от ,40 050, ,₽",Центр коммунального сервиса,"3,9",21
Аналитик баз данных,,1–3 года,"от ,50 000, до ,50 000, ,₽",Л-Транс,"4,8",9
Менеджер по базам данных \ CRM-маркетолог \ Маркетолог-аналитик,"Грамотная речь,Креативность,Анализ конкурентов,Анализ потребительских предпочтений,Продвижение бренда,Ведение групп в социальных сетях,Многозадачность",1–3 года,"от ,40 000, ,₽","Байкальская Виза, ГК","3,7",13
Ведущий специалист (аналитик данных),,1–3 года,"от ,40 000, ,₽",ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,"3,6",25
Аналитик данных,,3–6 лет,"от ,100 000, ,₽",МедСофт,,
IT-специалист (аналитик данных),,1–3 года,"от ,40 000, ,₽",ГБУЗ Владимирской области Медицинский информационно-аналитический центр,,
Социолог/аналитик данных,,3–6 лет,"до ,60 000, ,₽",Ассоциация Е.В.А.,,
Аналитик данных,"Аналитика продаж,Прогнозирование,Анализ данных,Работа с базами данных,Работа с большим объемом информации,Подготовка презентаций,Сбор и анализ информации,Управленческая отчетность",1–3 года,"от ,45 000, ,₽",Бумхиминвест,"4,5",13
Аналитик баз данных/ продуктовый аналитик (экономист),"Аналитическое мышление,Экономический анализ,Финансовый анализ,Анализ данных,Power BI,MS Power BI,Анализ финансовых показателей,Аналитические исследования,Базы данных,1С: Бухгалтерия,1С: Зарплата и управление персоналом,MS Excel,Подготовка отчетов,Анализ бизнес показателей",1–3 года,"от ,45 000, до ,60 000, ,₽",Жар Свежар,"3,7",16
Маркетолог - аналитик (аналитик баз данных),"ABC-анализ,SQL,Бизнес-анализ,Аналитическое мышление,XYZ-анализ,Аналитика,Работа с большим объемом информации,SWOT анализ,Конкурентная аналитика,Анализ ассортиментной линейки,Ценообразование,Подготовка презентаций",1–3 года,"от ,50 000, до ,60 000, ,₽",Б2 Мотор.ру,"4,2",21
Аналитик данных с отличным знанием Excel,"1С: Предприятие 8,1С: Торговля,1С: Документооборот,CRM,MS Excel",3–6 лет,"от ,55 000, до ,55 000, ,₽",Мед плюс,"4,1",28
Аналитик данных на маркетплейсе Wildberries / Ресёрчер,"Маркетплейсы,Знание Excel,Удаленная работа,Работа с большим объемом информации,Аналитический склад ума,Умение принимать решения,Продвинутый пользователь ПК,Аналитика продаж,Анализ продаж,E-Commerce,wildberries,Конкурентная аналитика,Работа с системами аналитики",1–3 года,"от ,50 000, ,₽",Аксёнов Алексей Михайлович,"4,8",1
Младший аналитик данных,,1–3 года,"от ,50 000, ,₽",Первый Бит,"3,9",1385
Аналитик данных,,1–3 года,"от ,50 000, ,₽",Эксимтранс,,
Аналитик данных,,1–3 года,"от ,50 000, ,₽",Горно-металлургический комплекс,"3,6",156
Аналитик хранилища данных (DWH),"Разработка технических заданий,Бизнес-анализ,Системный анализ,Проектная документация,MS Visio,SQL,Информационные технологии,DWH,Hadoop,Confluence,Atlassian Jira",1–3 года,"от ,52 000, ,₽",VDcom,"4,3",27
Специалист по обработке данных / Аналитик,"Деловая переписка,1С: Предприятие 8,Аналитическое мышление,MS Excel,Анализ данных,Управление проектами",1–3 года,"от ,55 000, ,₽",Техноавиа-Тюмень,,
Аналитик бизнес-данных,"Грамотная речь,Работа с большим объемом информации,1С: Предприятие 8,MS PowerPoint,Аналитическое мышление",1–3 года,"до ,73 000, ,₽","Нижегородская областная фармация, ГП НО","3,1",8
Аналитик данных (Data Scientist),Английский — A1 — Начальный,1–3 года,"от ,50 000, до ,70 000, ,₽",УГМК-Телеком,"4,3",12
Аналитик данных (Junior),"SQL,Python,Английский язык,MS SQL,Работа с базами данных",1–3 года,"от ,55 000, до ,70 000, ,₽",DNS Головной офис,"4,2",21
Аналитик данных,,не требуется,"от ,60 000, до ,60 000, ,₽","МАГНИТ, Розничная сеть",,
Аналитик данных (IT-компания),"Базы данных,SQL,MS SQL,Oracle Pl/SQL,MS Access,VBA,MS Outlook,MS SQL Server,Python,R,MS Excel",не требуется,"от ,55 000, до ,70 000, ,₽",DSM Group,"4,1",20
Аналитик данных,,1–3 года,"от ,60 000, до ,60 000, ,₽",ЦЕНТРОФИНАНС,"3,9",125
Аналитик данных (Data Scientist),Английский — A1 — Начальный,1–3 года,"от ,50 000, до ,70 000, ,₽",УГМК-Телеком,"4,3",12
"Системный аналитик (ERP, интеграционная шина, оптимизация баз данных)","Галактика,Оптимизация бизнес-процессов,АСКОН,T-Flex,Бизнес-анализ,Работа с базами данных,SQL,Моделирование бизнес процессов,Разработка инструкций,Анализ данных,Постановка задач разработчикам,Информационные технологии,Разработка технических заданий,Автоматизация процессов,Проведение тестирований,Техническая документация,Системный подход",3–6 лет,"от ,52 140, ,₽",ОКБ Факел,"3,1",21
Аналитик данных Excel (транспортные услуги компании),"Работа с большим объемом информации,Работа с документами,Поиск информации в интернет,Аналитическое мышление,Сбор и анализ информации,Знание Excel,1C: Предприятие",1–3 года,"от ,64 000, до ,64 000, ,₽",САТУРН - строительные материалы,"4,1",373
"Специалист поддержки клиентского сервиса (аналитика, работа с базами данных)",,не требуется,"от ,50 000, до ,85 000, ,₽",CityAds Media,"4,0",30
Аналитик обработки данных,,1–3 года,"от ,65 000, до ,65 000, ,₽","МАГНИТ, Розничная сеть",,
Аналитик данных,"SQL,Power BI,MS Excel,Анализ данных,MS PowerPoint,ITIL,Python",3–6 лет,"от ,57 000, ,₽",Гринатом. Центр Разработки.,"4,0",560
Аналитик клиентских данных,"Аналитическое мышление,Работа с большим объемом информации,Power BI,Базы данных,Английский язык,Подготовка презентаций,Анализ рынка",1–3 года,"до ,80 000, ,₽","Институт Тренинга - АРБ Про, группа компаний","3,1",6
Аналитик данных,"Анализ данных,SQL,Python,Аналитическое мышление",не требуется,"от ,60 000, ,₽",MARSHALL,"4,3",98
Главный специалист (Аналитик данных/BI-аналитик),,3–6 лет,"до ,85 000, ,₽",КГКУ Информационно-технологический центр Приморского края,"3,2",1
Аналитик данных,,1–3 года,"от ,60 900, ,₽",Сбер для экспертов,"4,0",17825
Аналитик данных Отдела анализа и отчетности,"SQL,VBA,bi-платформы,Анализ данных",1–3 года,"от ,50 000, до ,97 000, ,₽","Кубань Кредит, КБ","3,8",215
Аналитик данных / специалист Google Data Studio (удалённо),"Google Data Studio,Анализ данных,Работа с базами данных,Анализ бизнес показателей,Постановка задач разработчикам,Data Mining,MS Power BI,Оптимизация бизнес-процессов,Сбор и анализ информации,Работа с системами аналитики,Data Analysis,Прогнозирование,Математический анализ,Power BI,Конкурентная аналитика,Базы данных,Аналитическое мышление,Бизнес-анализ,UML,Atlassian Jira,Big Data,Python,SQL,Аналитические исследования,Статистический анализ,Работа с большим объемом информации,Оптимизация бизнес процессов,Business Analysis,Сводные таблицы,Мой склад",1–3 года,"от ,65 000, до ,80 000, ,₽",Бризекс,"4,5",16
Ведущий аналитик данных,"SQL,Базы данных,Аналитика,Аналитическое мышление,Power BI,Анализ данных,Tableau",1–3 года,"до ,90 000, ,₽","Компания «СПОРТМАСТЕР», Логистика","4,3",7481
Аналитик данных,"Python,SQL,MS SQL,Анализ данных,Базы данных,Jupiter,Excel,Макросы,Работа с большим объемом информации",1–3 года,"от ,50 000, до ,100 000, ,₽",Сеть магазинов цифровой и бытовой техники DNS,"3,8",4725
Младший аналитик данных/Junior data analyst (регионы),"SQL,Python,Работа с базами данных,Анализ данных,Аналитика,Аналитические исследования,Базы данных,Data Analysis",1–3 года,"до ,90 000, ,₽",KONNEKTU,"4,1",2
Ведущий аналитик данных,"SQL,Базы данных,Аналитика,Аналитическое мышление,Power BI,Анализ данных,Tableau",1–3 года,"до ,90 000, ,₽","Компания «СПОРТМАСТЕР», Логистика","4,3",7481
Инженер/Аналитик данных Excel,"MS Excel,Работа с базами данных",не требуется,"от ,78 045, до ,78 045, ,₽",МОСГАЗ,,
Младший аналитик данных,,1–3 года,"от ,70 000, ,₽",ПроКонтекст,,
Аналитик баз данных (аренда торговой недвижимости),,1–3 года,"от ,80 000, до ,80 000, ,₽",ID:HR,,
Аналитик данных,"Python,Работа с большим объемом информации",1–3 года,"от ,80 000, до ,80 000, ,₽",Научно-исследовательский институт железнодорожного транспорта (ВНИИЖТ),"4,0",16
